PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40628160,A critical review of the synergistic potential of targeting p53 and CAR T cell therapy in cancer treatment.,2025-Jul-07,Biplab Debnath,"Department of Pharmaceutical Technology, Bharat Technology, Uluberia, West Bengal 711316, India.",ashiquesumel007@gmail.com.
40622821,Facts and hopes: CAR-T cell therapy and Immune contexture in Non-Hodgkin Lymphoma.,2025-Jul-07,"Mike Mattie, Nathalie Scholler","Kite Pharma, a Gilead company, Santa Monica, CA, United States., TORL Biotherapeutics, LLC, Culver City, CA, United States.",
40621474,Interlaboratory assessment of candidate reference materials for lentiviral vector copy number and integration site measurements.,2025-Jun-12,"Daniëlle Steenmans, David C Corney, Jan Spanholtz, Laure Turner, Monica Raimo, Yongjun Fan, Yu Qiu","GENEWIZ from Azenta Life Sciences, 111 Corporate Boulevard, South Plainfield, NJ 07080, USA., Glycostem Therapeutics, Kloosterstraat 9, 5349 AB Oss, the Netherlands.",
40620658,Combining antigen specific T-cells with T-cell engager therapy induces a molecular signature that favors T-cell fitness.,2025-Jun-DD,"Jack A Ragheb, Mathias Oelke, Ruipeng Wang, Sojung Kim",NexImmune Inc.,
40617243,In-vivo B-cell maturation antigen CAR T-cell therapy for relapsed or refractory multiple myeloma.,2025-Jul-02,Jishuai Zhang,"Shenzhen Pregene Biopharma, Shenzhen, China.",hmei@hust.edu.cn.
40616425,Tandem CD19/CD22 CAR T-Cell Therapy as First-Line Treatment for Adult Patients With High-Risk Philadelphia Chromosome Negative B-Cell Acute Lymphoblastic Leukemia.,2025-Jul-05,"Lei Yu, Liqing Kang","Shanghai Uni CAR T-Cell Therapy Bio-Medicine Technology Co., Ltd, Shanghai, China.",
40615715,Challenges and perspectives of CAR-T cell therapy in solid tumours: insights from gastric cancer.,2025-Jul-04,Jincai Zhou,"Innovation & Research Department, OriCell Therapeutics Co. Ltd, Shanghai, China. zhoujincai@oricell.com.",zhoujincai@oricell.com.
40610432,Immune correlates of anti-BCMA CAR-T products idecabtagene vicleucel and ciltacabtagene autoleucel in a real-world cohort of patients with multiple myeloma.,2025-Jul-04,"Dina Schneider, Peirong Hu, Xu Wang","Lentigen Technology Inc., a Miltenyi Biotec Company, Gaithersburg, MD, USA.",datanackovic@som.umaryland.edu.
40607376,Using technology for patient-centered care at home after CAR T-cell therapy or stem cell transplant: a prospective feasibility study.,2025-MM-DD,"Bellinda K Conte, Rachel K Brahler","Reimagine Care, Inc., Nashville, TN, United States.",
40605018,Prophylactic infusion of allogeneic double-negative T cells as immune modulators to prevent relapse in high-risk AML patients post-Allo-HSCT: a phase I trial.,2025-Jul-02,"Haicun Xie, Liming Yang","Ruichuang Biotechnology Co., Ltd, Shaoxing, China., Ruichuang Biotechnology Co., Ltd, Shaoxing, China. lyang@wyzebiotech.com.",hanyongsh@163.com.
40599781,Editorial: Next generation therapeutic modality to cure autoimmune diseases.,2025-MM-DD,"Ce Wang, Feng Dong, Guobao Chen, Qi Wan, Timothy Radstake","Cambridge Research Center, AbbVie Inc, Cambridge, MA, United States.",
40598348,CAR-T cells targeting CCR9 and CD1a for the treatment of T cell acute lymphoblastic leukemia.,2025-Jul-01,"Alba Garcia-Perez, María José Mansilla, Víctor M Díaz","OneChain Immunotherapeutics S.L, Barcelona, Spain.",mtoribio@cbm.csic.es.
40597849,"Exploring what matters most to patients in relapsed refractory multiple myeloma treatment: a Canadian discrete choice experiment with patients, caregivers and physicians.",2025-Jul-01,"Gin Nie Chua, Rebekah Hall","Acaster Lloyd Consulting Ltd, London, UK., Acaster Lloyd Consulting Ltd, London, UK. rebekah.hall@acasterlloyd.com.",rebekah.hall@acasterlloyd.com.
40592738,ADI-270: an armored allogeneic gamma delta T cell therapy designed to target CD70-expressing solid and hematologic malignancies.,2025-Jul-01,"Alexander G Teague, Amy Doan, Ana Giner-Rubio, Arun Bhat, Aruna Azameera, Aya Jakobovits, Blake T Aftab, Christopher J Rold, Dishant Bhatwala, Elizabeth B Speltz, Gauri Lamture, Helen Budworth, Jie Zhang, Jonathan T S Wong, Jyothi Sethuraman, Katherine M Wang, Kevin P Nishimoto, Marissa Herrman, Melinda Au, Michael Salum, Morgan Smith-Boeck, Pavan Puligujja, Pranav Murthy, Ramandeep Kaur, Shon Green, Smitha R Y Gundurao, Swapna Panuganti, Yogendra Verma, Yvan Chanthery","Adicet Therapeutics Inc, Redwood City, California, USA knishimoto@adicetbio.com., Adicet Therapeutics Inc, Redwood City, California, USA.",knishimoto@adicetbio.com.
40581305,American Society for Transplantation and Cellular Therapy Series #11: Updated Cytomegalovirus Guidelines in Hematopoietic Cell Transplant and Cellular Therapy Recipients.,2025-Jun-26,Andrew Lin,"Department of Pharmacy, Memorial Sloan Kettering Cancer Center, New York, New York, USA.",rfchemaly@mdanderson.org.
40576876,Harnessing the immune responses: a new frontier in Ewing sarcoma treatment.,2025-Jun-27,Rajanikant Patel,"Department of Product Development, Granules Pharmaceuticals Inc., 3701 Concorde Parkway, Chantilly, VA, 20151, USA.",mchorawalaresearch@gmail.com.
40576759,Tocilizumab Dosing for Management of T Cell-Engaging Bispecific Antibody-Related CRS in Patients With R/R B-Cell NHL.,2025-Jun-27,"Antonia Kwan, David C Turner, Feifei Li, Leonid Gibiansky, Michael C Wei","Genentech, Inc., South San Francisco, California, USA., QuantPharm LLC, North Potomac, Maryland, USA.",
